job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8ag5f?jobsource=joblist_search,iOS工程師,"Mapxus 是一個行業領先的室內地圖技術平臺，為全球應用提供最先進的室內地圖服務。我們的願景是通過大規模數位化室內空間，共同打造一個更智慧的城市。 我們努力使室內地圖簡單化，提供高品質的數位室內地圖、定位和可視地圖數據。借用我們現成的SDK，我們的合作夥伴可以專注於價值創造，加快其應用程式開發，從而為用戶帶來更大的價值。 您可以在我們的網站上瞭解更多關於我們：www.mapxus.com

工作內容
．負責iOS端App和SDK的產品研發和性能優化，完成高品質量程式碼和測試工作。 
．和產品經理一起深度參與產品需求的討論，功能定義和功能實現。 
．參與共用組件，系統架構設計及品質優化的相關研發工作。 
．相關前沿技術研究。 
．編寫和維護相關文檔。 

條件要求
．有iOS 3年以上開發經驗，熟悉Objective-C、Swift，對物件導向設計有深入理解，熟悉C或C++尤佳。 
．了解軟體開發技術和原理。 
．具有良好的產品意識，學習能力強。 

加分條件
．有地理資訊系統和地圖產品工作經驗者優先。,未填寫,iOS、C++、Objective-C、SWIFT
提升專業能力
提升專業能力,不拘","軟體工程師
、iOS工程師","月薪45,000~65,000元",無需出差外派
https://www.104.com.tw/job/8bie4?jobsource=joblist_search,【ReMo】台中 - Flutter 工程師,"■工作內容：
・使用Flutter進行開發與維護
・研究新技術進行開發部署

■技能需求：
・熟悉 HTML,CSS,Vue.js 框架
・熟悉 RESTful Web API 串接應用
・熟悉 webpack 建構工具
・至少1年以上 Flutter 開發經驗 
・具備良好溝通能力
・具有獨立作業能力

※須附上相關作品案例
※薪資NT40,000元起（面議）

■上班時間＆休假：
10：00～19：00。(勤務時間8小時+休息時間1小時)
依照國定假日出勤。,不拘,Linux、Git、PHP、MySQL、HTML、JavaScript、jQuery、CSS、VueJS
提升專業能力
提升專業能力,軟體工程系統開發、軟體整合測試、軟體程式設計、網路程式設計","iOS工程師
、Android工程師
、Internet程式設計師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8daof?jobsource=joblist_search,ReactNative開發工程師,"1、使用 React Native 框架負責開發公司的移動端 APP
2、持續改進移動 APP 性能、安全性、穩定性和可擴展性;
3、能夠對設計師给定作品，進⾏代研發以及完成交互類前端開發工作;
4、與產品、後臺開發⼈員保持良好溝通，能快速理解各方需求，並落實為具體的開發工作;
5、在團隊的代碼格式、結構的規定下，編寫易讀、易維護、高質量、高效率的代碼; 
6、具有良好的溝通能力、團隊配合精神，對新技術敏感。

條件要求：
1、有 2 年以上 React Native 的開發經驗，具有扎實的編碼能力以及規範意識;
2、熟練掌握 React Native 的框架實現原理，具備負責問題的解決能力;
3、有採用 React Native 跨平台 APP 的實際項目開發經驗,能熟練使用 React Native 開發出高效的跨移動平台應用;
4、有和 iOS 或 Android 原生混编開發經驗優先，了解 React Native 在各平台的差異，踩過的坑越多越好;
5、熟悉模塊化、 组件化、前端工程化;
6、熟練使⽤ Git;
7、具有性能優化經驗;
8、開發速度快、抗壓力强，可應對較大的工作壓力。,不拘,不拘,不拘","前端工程師
、iOS工程師
、軟體工程師","月薪60,000~95,000元",無需出差外派
https://www.104.com.tw/job/8i95k?jobsource=joblist_search,APP工程師,"【軟體工程開發】
1.專案需求釐清：與專案需求單位或相關窗口，進行跨部門溝通，資訊團隊討論技術上的可行性，定義各項作業的優先順序，與主管討論同意後，進入執行階段。
2.執行專案階段：執行前需與團隊成員討論較佳的實作方式，以管控成本、增進效能及減少未來除錯修改的問題產生。
3.完成專案階段：程式撰寫完畢後，進行測試及除錯。並撰寫相關的技術文件與教育訓練文件留存備查。
4.後續管理階段：維護開發產品之營運正常，並協助研發軟體新技術與新工具。

【必須具備職能】
1.專業職能：系統分析及系統規畫能力
2.以JAVA&Kotlin負責專案Android APP之開發、維護
3.跨職務合作開發，並評估合理性及規劃專案時程
4.熟悉 RESTful API 與 JSON 資料交換、介接第三方 API 套件經驗。
5.開發文件相關撰寫
6.一般職能： SQL。,不拘,Android、Java、Python
提升專業能力
提升專業能力,軟體工程系統開發、資料庫程式設計","Android工程師
、iOS工程師
、資料工程師","月薪45,000~55,000元",無需出差外派
https://www.104.com.tw/job/7hesn?jobsource=joblist_search,Flutter App 工程師,"【工作內容】
1. 使用 Flutter開發和維護高效能應用程式
2. 與PM和後端工程師討論將功能時作出來
3. 配合其他開發人員、測試人員，完成產品設計和發佈
4. 編寫相關開發文檔、技術資料等
5. 持續學習新技術並導入產品開發
6. 樂於溝通，於問題解決後儘速主動回報主管。,不拘,Git、Flutter、Kotlin、Dart
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計","軟體工程師
、Android工程師
、iOS工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/8eop7?jobsource=joblist_search,iOS 軟體開發工程師,"1. 負責新專案 iOS App 端開發及後續維護。
2. 現有專案 iOS App 端維護及新需求開發。
3. 依據需求完成分析及模組設計，保有擴充性。
4. 會優化程式品質、提高執行效率及可維護性。
5. 依據回饋改善及提高 App 使用者體驗。
6. 評估並運用新技術，優化工作流程及開發模式。,不拘,不拘,不拘","軟體工程師
、iOS工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8mwh4?jobsource=joblist_search,Flutter App工程師 可遠端,"Flutter App 工程師

【工作內容】
1、負責使用 Flutter 進行移動應用研發，能夠 獨立完成 Android / iOS 應用開發。
2、熟練使用 Figma，能夠 高還原 UI 介面，提升使用者體驗。
3、參與 RESTful API 對接，與後端團隊緊密合作。
4、負責應用的 效能優化，確保流暢度、穩定性和相容性。

【職務要求】
1、3 年以上 Flutter 開發經驗，具備完整的 Flutter 專案開發經驗。
2、熟悉 Dart 語言，掌握 Flutter 組件、狀態管理（如 Provider、Riverpod、Bloc 等）。
3、具備 iOS（Swift）或 Android（Kotlin）原生開發經驗。
4、熟悉 RESTful API 與 JSON 資料交換，具備 第三方 API 串接經驗。
5、熟悉 WebSocket、HTTP、GraphQL 等網路通訊協定。
6、具備 移動端效能優化、動畫優化和記憶體管理 經驗。
7、熟悉 App Store / Google Play 上架審核流程及相關限制。
8、了解 Git 版本管理工具，能熟練使用 CI/CD 自動化部署流程。
9、具備 獨立解決問題能力，能深入研究技術，邏輯清晰，責任感強，具備良好的溝通能力與團隊合作能力。,不拘,Dart、Kotlin、SWIFT
提升專業能力
提升專業能力,軟體程式設計","iOS工程師
、Android工程師","月薪50,000~80,000元",無需出差外派
https://www.104.com.tw/job/8h3mb?jobsource=joblist_search,Android工程師,"本公司為無人機開發製造公司，Android系統在無人機地面站的開發中扮演關鍵角色，我們正在尋找專業的Android工程師，優化無人機地面站應用，提升操作體驗！如果你擅長Android底層開發、UI設計、應用最佳化，這將是個充滿成長機會的職位！
主要工作內容：
1. Android APP開發，打造流暢、直覺的無人機操控介面
2. 最佳化無人機地面站系統，提升效能與穩定性
3. Android UI設計與排版，確保最佳的使用者體驗
4. Android底層開發，整合無人機系統與關鍵功能
5. 需配合外派或短期出差（依專案需求），提供相關補助
必備技能
1. 熟悉Java，具備Android開發經驗
2. 熟悉Android UI設計，能優化操作介面與使用體驗
3. 熟悉Android底層開發，能進行系統最佳化與效能調校
4. 對無人機技術有興趣，樂於挑戰新技術，提升系統應用,不拘,Android、Java
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、資料庫程式設計","Android工程師
、iOS工程師
、通訊軟體工程師","月薪60,000~80,000元",需出差外派，一年累積時間未定
https://www.104.com.tw/job/8ndkp?jobsource=joblist_search,iOS 短期駐點工程師(約半年)(台中烏日)(內部編號：SI1-ATC2),"【要求】工作經驗 3-5年
1. 熟悉Objective-C/Swift開發語言
2. 具備開發DAU(Daily active user) 3,000人+APP經驗
3. 無金融背景可，但對金融產品有興趣
4. 自我學習能加強，喜歡研究新技術
5. 具團隊合作意識，能與成員協力合作，有Scrum經驗佳
6. 樂觀進取、積極主動；敢於創新、挑戰不同,不拘,iOS、Objective-C、SWIFT、Scrum
提升專業能力
提升專業能力,不拘","iOS工程師
、系統工程師","月薪45,000~70,000元",無需出差外派
https://www.104.com.tw/job/7q8gi?jobsource=joblist_search,Flutter 工程師,"●工作內容
Flutter 開發跨平台 App(iOS/Android)
參與功能設計，分析並解決軟件開發過程中的問題
維護App，解決問題及優化功能

●技能要求
1. 熟悉 Dart 與 Flutter 框架，Flutter widget 、UI 實作經驗
2. 熟悉iOS(Swift)或Android(Java)者佳
3. 具備上架 Google Play、AppStore 通過審核的經驗
4. 具備良好的程式設計和架構能力
5.熟悉Provider者佳
6.熟悉git版控者佳
7.熟悉撰寫plugin或package者佳,不拘,Java、SWIFT、Flutter、Dart、MS SQL、MySQL
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計","軟體工程師
、Android工程師
、iOS工程師","月薪40,000~50,000元",無需出差外派
https://www.104.com.tw/job/86dhi?jobsource=joblist_search,Android 工程師,"(一)「工作內容」
1.對既有APP專案進行開發、設計、修改、安裝、測試及維護
2.參與新專案系統、業務流程等規劃與設計作業，及客戶服務與支援
3.專案支援，如客戶教育訓練、技術文件撰寫
4.與UI/UX設計師共同協作進行APP前端畫面製作
5.確保 APP 的品質及效能
6.Android、iOS 上架相關作業


(二)「職務需求」
1.有 Android APP開發經驗(至少2年以上)
2.熟悉kotlin 程式語言
3.熟悉Git，具有程式碼版本控管經驗
4.熟悉 RESTful API 串接
5.需有團隊合作意識與溝通能力、邏輯能力強，
6.對工作積極且有責任心
7.串接第三方SDK(Facebook、Firebase..等等)使用
8.良好的分析與解決問題的能力
9.需學習 kotlin multiplatform 開發,【加分條件】  
有 kotlin multiplatform 開發經驗
有 flutter 開發經驗,iOS、SWIFT
提升專業能力
提升專業能力,軟體程式設計",iOS工程師,"月薪40,000~55,000元",無需出差外派
https://www.104.com.tw/job/8dk2b?jobsource=joblist_search,APP工程師,"【工作內容】
1. App內頁面程式開發
2. 負責網站APP開發並與後端工程師配合完成專案
3. 與企劃配合開發前端組件，維護並優化APP端版面效能

【專業技能】
1. 至少精通一種APP程式語言（Swift, Java, Kotlin）
2. 了解基礎的Mobile UI建立與設置
3. 有使用GIT的相關經驗
4. 雙平台的開發

【注意事項】
．應徵者請務必提供履歷
．須具維運部署能力,不拘,Android、iOS、Git、Java、SWIFT、Kotlin
提升專業能力
提升專業能力,不拘","Android工程師
、iOS工程師","月薪42,000~70,000元",無需出差外派
https://www.104.com.tw/job/87ow9?jobsource=joblist_search,【海外通路】數位金融APP開發工程師(iOS/Android) (數數發_台中CDC)_I00008675,"【公司部門簡介 About Us】
國際消金發展部致力於推動海外數位金融，打造高品質、創新的數位金融服務。我們的團隊擁有金融及非金融領域的多元菁英，包括網路科技和數位行銷等專業。強調團隊合作文化，期待透過多元團隊創造前所未有的金融服務可能性，深入了解世界各國金融服務文化與特色。

【角色定位 Role & Responsibility】
負責與產品開發團隊緊密協作，尋找並建立提升用戶體驗、創造商業價值的數位金融合作機會。期待能引入創新元素，拓展消費者應用場景。

【 職務需求 Job Requirements 】 
- 具2年以上App 開發經驗 (Objective-C / SWIFT/JAVA/KOTLIN)。
- 熟悉CI/CD流程，能適應快速變化的需求及功能滾動更新。
- 熟悉 Git 版本控制系統，能有效進行分支管理、衝突解決和程式碼審查。
- 具多人協作開發經驗，能與團隊成員順暢溝通、合作，完成功能開發。
- 重視團隊合作，能接受不同觀點，並與團隊成員協力推動專案成功。
- 對金融數位產品有興趣、自我學習能加強、喜歡研究新技術。
- 具團隊合作意識，能與成員協力合作，有Scrum經驗佳 。
- 樂觀進取、積極主動；敢於創新、挑戰不同。
- 需國內外出差。

【發展與培訓 Development & Training】
目前正在積極拓展海外市場，工作充滿挑戰。加入我們一起成為台灣發展海外數位消金平台的引領者，在這個嶄新且具有挑戰性的環境，實現不斷成長的可能。國泰將提供多元的集團培訓計畫，包含專業的產品知識訓練，再依據需求有機會報名參加由集團與知名企業合作的數位行銷、分析、使用者體驗等相關課程，有趣的定期講座和實用的實戰工作坊。同時也有申請外部課程進修補助管道。此外，您還有機會深入了解不同業務部門，發掘並深化在您感興趣的專業領域的工作。我們誠摯邀請您一同踏上這個充滿發展機會的旅程。,【 加分條件 Plus 】
- 具備英⽂(聽說讀寫)能⼒。 
- 具 Scrum 或敏捷開發經驗。
- 具備單元測試與自動化測試經驗。,Systems Analysis、Git、SWIFT、Kotlin、MS SQL、PostgreSQL
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、資料庫程式設計","iOS工程師
、Android工程師
、軟體工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/84hez?jobsource=joblist_search,資深前端 App 工程師 (React / React Native),"工作內容摘要：
我們正在尋找熟悉 React 或 React Native 的工程師，加入我們的 App 團隊，一起打造高品質的跨平台應用。無論你是從前端轉進 App 開發，或已經有 React Native 經驗，我們都很歡迎！

必備條件：

1. 熟悉 React 或 React Native 開發（有實際 App 上架經驗更佳）
2. 具備良好的前端工程觀念與版面處理能力
3. 熟悉 Git 版本控制與團隊協作


職責與職務:

1. 依據產品需求與設計規範，主導開發穩定、高效且可維護的跨平台前端程式碼
2. 參與 UI/UX 流程與原型設計階段，提供技術可行性建議，並確保最終呈現的用戶體驗符合設計初衷
3. 使用 React Native 為主，搭配原生技術（Java/Kotlin、Objective-C/Swift）實作高品質4. 的畫面與互動功能
5. 與 UI/UX 設計師密切合作，確保設計理念能準確落實於產品中
6. 與後端工程師協作整合 API，處理資料流程、錯誤處理與例外狀況管理
7. 持續優化 App 效能，提升載入速度與使用流暢度，解決各類技術瓶頸
8. 進行跨平台（iOS / Android）測試與除錯，確保應用於不同設備上的穩定性與兼容性
9. 追蹤前端與跨平台開發技術趨勢，持續導入合適的新技術、框架與工具，提升開發效率與產品品質
10. 協助技術文件撰寫與內部知識傳承，支援團隊技術提升,不拘,Android、iOS、Objective-C、SWIFT、Kotlin、ReactNative
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計","前端工程師
、iOS工程師
、Android工程師","月薪80,000元以上",無需出差外派
https://www.104.com.tw/job/8nxyf?jobsource=joblist_search,學習型 行動應用程式 實習生 iOS / Android APP,"★非在學學生請勿投遞
此實習機會僅提供實習時數和實習證明。

★可配合學校實習生計畫，請於自傳最後說明實習時數及期程。 
★實習期間表現優秀者，於實習結束時有機會轉為正職。 

【實習內容】：
★藉由參與實務工作，學習相關產業領域專業技能，未來就業可順利接軌，充實就業即戰力。
★實行輔導員制度，輔導員協助帶領及解決疑難雜症。
★在職期間將規劃各類專業課程，同步提升職場軟實力。

1. 開發符合  App產品，根據產品需求，進行合理的功能設計、代碼編寫及自測。
2. 維護與開發新功能至既有之專案。
3. 規劃功能架構及開發時程。
4. 理解舊有程式架構，並從中尋找並修正問題。
5. 持續研究、分享、學習最新的技術。

研究最新技術，並持續優化現有服務、完善的培訓和，以及優秀的團隊氛圍和實習環境。,不拘,Android、iOS、Node.js、Git、Kotlin、SWIFT、Github
提升專業能力
提升專業能力,軟體程式設計、資料庫程式設計、軟體工程系統開發、系統整合分析、資料庫系統管理維護","Android工程師
、iOS工程師
、全端工程師",部分工時(月薪)0元以上,無需出差外派
https://www.104.com.tw/job/84pyn?jobsource=joblist_search,Flutter 程式設計師【有經驗者優先錄取】#154158,"1. 熟悉與精通 Flutter/Dart 程式語言
2. 熟悉與精通 Firebase 行動和網路應用程式開發者平台。
3. 有實際開發 Apple 與 Android APP 經驗及且有 APP上架者。
4. 具 TCP/IP 通訊應用軟體開發經驗，熟悉 HTTP、TCP/IP 通訊協議。
5. 負責軟體之分析、設計以及程式撰寫。
6. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
7. 進行軟體之測試與修改。
8. 規劃、執行與維護量產的產品。
=======================================
We Believe! Good HR is the foundation of a good company.

藍眼是一充滿工作活力、氣氛輕鬆、快速成長中的公司。在藍眼，沒有墨守成規，只有鼓勵向前。 藍眼重視團隊合作和自我管理，提供挑戰，又兼具創意及輕鬆的工作環境，唯勇於嘗試的人歡迎接受挑戰。
=======================================,不拘,Git、Java、SWIFT、Flutter、Dart、Firebase
提升專業能力
提升專業能力,不拘","iOS工程師
、Android工程師
、前端工程師","年薪600,000~1,200,000元",無需出差外派
https://www.104.com.tw/job/787pn?jobsource=joblist_search,iOS工程師(台中),"團隊描述：
團隊Leads為Android/與後端雙棲的開發者，所擁有的開發技能非常廣，開發過的專案也同樣廣泛，也因此不會有溝通落差，以技術為導向的團隊。
 
如果你的預期和下方的要求方向一致，相信你在團隊中會如魚得水
1.  希望你思維靈活，觸類旁通。
2.  只有必要，才要求加班：明天就要交付報表運算的結果，但運算結果是1+1=3，那沒有休息的理由。
3.  做事有自我要求，把事情做""好"" 比把事情做”完"" 重要的多。
4.  願意接受新的事物，現在的資訊演變快，這行不能墨守成規。
5.  有想要精進自己能力的決心。
6.  如果能很放心的把工作交給你，且年資超過18個月，會逐步開放遠端工作。
7.  不要求個性外向，但不介意你公事私事跟我們一起混一起分享。
  
A 基本技能
1.  基礎到中等的英語能力：看資料，爬文，學習新技術必備。
2.  優秀的學習能力：對於學習事務有一套自己的方式，且可總結學習的內容報告。
3.  曾經【嘗試】使用新的技術或第三方解決某”些""問題：有沒有解決不重要，重要在於實驗精神。
4.  一定要會寫Swift，這是當然的吧。
5.  熟悉 Xcode 做為開發工具，並使用CoCopods，Swift Manager 等第三方框架。
 
B 進階技能(與開發有關的加分項目)
1.  串接過需要複雜驗證的API(例如加解密混合時間戳記)。
2.  利用藍芽/Wifi等傳輸機制進行傳輸或控制。
3.  使用Realm或CoreData操作結構較為複雜的本地資料庫。
4.  用過firebase的相關功能(Remote Config、Messaging...)。
5.  只要你覺得這不是單純的寫寫程式，都可以作為該項次技能。
 
C。加分能力(與專案有關的加分項目)
 有開發或接觸或瞭解過
1.  基礎設計
2.  金融產品應用
3.  教育領域
4.  醫療領域
5.  運動領域
 
 
你在這份工作可能會接觸或學習到的事物
常見的開發項目。
不常見稀奇古怪的開發挑戰。
團隊合作開發。
這時代每天都有新技術，那就是各種新項目可以挑戰或學習。
===============================
如果你對此職務有興趣
請勇敢的按下我要面試按鈕
B、C項目沒有符合的也沒關係
上面沒提到還有一個最重要的
要有勇往直前挑戰一切的熱情與決心,不拘,iOS、Git、SWIFT
提升專業能力
提升專業能力,系統架構規劃、軟體程式設計",iOS工程師,"月薪36,000~72,000元",無需出差外派
https://www.104.com.tw/job/8l2ic?jobsource=joblist_search,APP工程師,"1.使用Flutter或React Natvie進行移動應用研發；能夠獨立完成iOS、Android應用的開發工作。
2.熱愛前端，精通flutterr或React Natvie等前端開發技術，熟悉常用前端框架。
3.和前端、後端工程師一起研討技術實現方案，進行應用及系統整合。
4.了解雲端技術和RESTful API設計原則，並具備與雲端系統整合的經驗。
5.持續對產品開發流程進行改進與優化，提高開發能力和效率，並能通過技術提升用户體驗和可用性。
6.與專案經理、設計師和其他工程師緊密合作，確保專案的成功交付

【加分條件】
1.熟悉基本資料庫設計原理。
2.熟悉CI/CD工具（如Devops、Jenkins、GitLab CI、GitHub Actions等），並有實際專案作業經驗。
3.熟悉 HTML,CSS,Vue.js,Reat.js 框架。
4.具備上架 Google Play、AppStore 通過審核的經驗。,1.參與政府、智慧醫療專案或企業資訊系統執行經驗者佳
2.具備良好的溝通協調、邏輯推理、表達能力
3.工作態度主動、積極、抗壓力好、樂於學習接受新
4.可配合出差及加班,Android、iOS、Git、Flutter、HTML、CSS、ReactNative
提升專業能力
提升專業能力,資料庫程式設計、資料庫軟體應用","iOS工程師
、Android工程師","月薪45,000~60,000元",需出差，一年累積時間未定
https://www.104.com.tw/job/8dq8l?jobsource=joblist_search,iOS Android 工程師,"iOS程式設計

Android程式設計

前端程式設計

後端程式設計

資料庫設計 (佳)

伺服器架設 (佳),不拘,Android、iOS、Objective-C、SWIFT、Kotlin、MySQL、JavaScript、Node.js
提升專業能力
提升專業能力,不拘","Android工程師
、iOS工程師
、通訊軟體工程師","月薪48,000元以上",無需出差外派
https://www.104.com.tw/job/8li8w?jobsource=joblist_search,APP 工程師（Android & iOS）,"工作內容

1. 應用程式開發
   - 設計和實現 iOS 和 Android 平台應用程式。
   - 開發高效、穩定的 UI 元件和後端互動功能。

2. API 整合
   - 整合第三方 API，並確保數據傳輸的安全性與高效性。
   - 處理與後端伺服器的數據交互，優化 API 調用性能。

3. 應用程式優化
   - 優化應用程式的載入速度和執行效能。
   - 減少應用的記憶體消耗，處理異常崩潰問題。

4. 平台測試與部署
   - 測試應用程式在不同裝置和操作系統版本上的相容性。
   - 使用 Google Play 和 App Store 上架工具部署應用。

5. 技術研究與改進
   - 持續跟進最新的行業趨勢與技術，提升開發效率。
   - 提供技術指導並協助其他團隊成員解決問題。

技能需求

1. 開發工具
   - Android Studio、Xcode。
   - 熟悉 Gradle、CocoaPods 或其他依賴管理工具。

2. 程式語言
   - Android：Java/Kotlin。
   - iOS：Swift/Objective-C。

3. UI/UX 設計
   - 能實現高效、互動性強的用戶界面設計。
   - 確保應用程式在不同螢幕大小上的一致性。

4. 跨平台框架
   - 熟悉 Flutter 或 React Native 開發跨平台應用。

5. 版本控制
   - 熟練使用 Git 進行分支管理和代碼合併。

6. 加分技能
   - 有處理多線程和數據同步經驗。
   - 熟悉 Firebase、推播通知及分析工具。,不拘,Android、iOS、SWIFT、Kotlin
提升專業能力
提升專業能力,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用","iOS工程師
、Android工程師","月薪42,000~100,000元",無需出差外派
