"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/7t5px?jobsource=new_map&app_jobsource=m_time4jobs","前端網頁工程師（具備美感設計能力）","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。

【職務說明】
我們正在尋找一位兼具前端開發與UI/UX設計能力的專才，加入我們的團隊，設計與開發高效且吸引人的網站與應用程式，根據用戶需求與品牌定位，提供直觀且富有創意的使用者介面，進一步提升整體體驗。適合對新創充滿熱情，並渴望前瞻性職涯發展的您！


【職責內容】
• 設計並開發高效且美觀的前端，負責網站與應用程式的UI/UX設計與前端開發，確保優良的使用者體驗與功能性。
• 與後端工程師協作，保證前後端的順暢整合與前端效能優化。
• 參與需求討論並提供技術建議，協助產品設計與體驗的完善。
• 進行跨瀏覽器兼容性測試，確保不同設備上的一致性與穩定性。
• 支援產品視覺設計，創建吸引眼球的介面設計，提升用戶體驗及品牌形象。
• 執行主管交辦的其他相關任務。


【基本條件】
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，能獨立完成前端開發工作。
• 熟悉 VueJS、React 或其他前端框架，並具備單頁應用程式（SPA）與伺服器端渲染（SSR）的開發經驗。
• 具備UI/UX設計經驗，能根據用戶需求設計直觀、吸引人且易於使用的介面。
• 熟悉響應式設計（RWD），確保網站在各類設備上的優秀顯示效果。
• 熟練使用 Git 進行版本控制，具備團隊合作經驗。
• 具備API串接經驗，能處理前端與後端數據交互。
• 熟悉 Git 進行版本控制，並能在團隊協作中有效管理代碼變更。


【加分條件】
• 具備美感設計與文宣設計經驗，能將設計轉化為有效的行銷工具，幫助提升品牌價值。
• 熟悉視覺設計工具（如 Sketch、Figma、Adobe XD 等），能創建高品質的設計稿與原型。
• 具備跨部門合作經驗，能與行銷團隊協作，提升產品的市場影響力。
• 熟悉前端測試工具，能撰寫單元測試，確保代碼品質。


【應徵方式】
團隊是實現夢想的核心，請提供以下資料，讓我們更了解你：

1. 簡歷：分享你的技術經驗與成就。
2. GitHub 或作品連結：展示你的程式碼與專案成果。
3. 應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼！


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,【期望特質】

智者說：對的人是成事的關鍵，我們期待您具備以下特質：

• 熱衷創新，勇於嘗試新技術並付諸實踐。
• 擅長團隊合作，與他人有效溝通，共同解決問題。
• 自律且具責任感，能有效管理時間與資源。
• 面對挑戰時，保持正向、靈活應對變動。
• 高度誠信，對工作全力以赴，保證如期完成。
• 以用戶需求為核心，專注提升產品與服務體驗。
• 積極學習，接受挑戰，持續自我成長。
• 認同公司使命，並為共同目標努力。,ReactJS、Spring、MySQL、PostgreSQL、RDBMS、HTML、JavaScript、jQuery、CSS、Sass、Node.js、Java、AngularJS、VueJS、Redux、Django、Angular、Sketch、Zeplin、Adobe XD、Figma、Wireframe、Github、Jenkins、Git、AJAX
提升專業能力
提升專業能力,多媒體簡報製作、軟體程式設計、網路程式設計、多媒體企劃設計、多媒體技術開發、多媒體影像處理、行銷工具設計開發、使用者介面設計、設計表現能力、媒體動畫應用設計諮詢、電腦動畫設計","軟體工程師
、Internet程式設計師
、網頁設計師","月薪32,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sfg2?jobsource=new_map&app_jobsource=m_time4jobs","【金融創新部】初階程式設計師（工作地點：台中）","【⼯作內容】
現有功能維護及開發: 能接觸到前端、後端、SQL技術，⼀條⿓的串接開發，提供實務開發的平台

【必要技能】
1. 後端：C# .net Framework MVC、MS SQL
2. 前端：Javascript
3. 接觸過HTML、CSS、物件導向程式設計概念

【加分條件】
1. 了解MVC架構
2. 了解前端框架(Ext.js、React等)
3. 了解SVN、Git等版控操作
4. 喜歡接觸新事物、新技術、並能不斷提升⾃我技術⽔準


【寶碩財務科技−⾦融創新部簡介】
我們致⼒於⾦融商品投資管理平台開發，協助客戶進⾏⾦融商品交易部位管理、
⾵險管理及投資決策分析。

我們的成員組成為敏捷式團隊，提供客戶WEB化系統產品與服務(基於MVC架構)。
有別於其他傳統系統代理與專案模式，我們配置專職財務⼯程專家掌握最新⾦融技術、
商品變化與法規要求，結合兩個領域的優勢，建構完整、全⾯的投資平台，致⼒於核⼼產品開發，引領客戶⾯對不斷變化中的⾦融挑戰。

我們這裡有扁平的組織結構、採⽤敏捷式開發流程、開放⾃由的討論⽂化與導師制度、
完善的新⼈教育訓練、彈性的上班時間(8:30~10:30)做滿8⼩時⾃⾏下班、
沒有傳統企業的包袱、下班不⽤等主管離開才能⾛、沒有加班⽂化，
每周⼀次以上的部⾨聚餐(⾃由參加)、
友善豐富的進修管道(內訓、外訓、證照補助、部⾨知識庫)、
提供每⼈基本配備個⼈電腦(含SSD)+雙螢幕、
不定時的資訊技術、財經新知、財務知識、理財知識分享。

無須具備財務⾦融相關知識，歡迎不具財經背景的資訊⼯程師加⼊⼀同成⻑、分享與切磋~,不拘,不拘,不拘","軟體工程師
、Internet程式設計師","月薪40,000~60,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8sffn?jobsource=new_map&app_jobsource=m_time4jobs","【金融創新部】高級/資深程式設計師（工作地點：台中）","【⼯作內容】
1.負責產品模組的開發與調整(含前端JS、後端C#與SQL之開發)
2.理解客戶需求原因或是問題發⽣原因，協助思考、優化解決⽅案

【必要技能】
1. 後端：C# .net Framework MVC、MS SQL
2. 前端：Javascript
3. 接觸過HTML、CSS、物件導向程式設計概念

【加分條件】
1. 了解MVC架構
2. 了解前端框架(Ext.js、React等)
3. 了解SVN、Git等版控操作
4. 喜歡接觸新事物、新技術、並能不斷提升⾃我技術⽔準

【寶碩財務科技−⾦融創新部簡介】
我們致⼒於⾦融商品投資管理平台開發，協助客戶進⾏⾦融商品交易部位管理、
⾵險管理及投資決策分析。

我們的成員組成為敏捷式團隊，提供客戶WEB化系統產品與服務(基於MVC架構)。
有別於其他傳統系統代理與專案模式，我們配置專職財務⼯程專家掌握最新⾦融技術、
商品變化與法規要求，結合兩個領域的優勢，建構完整、全⾯的投資平台，致⼒於核⼼產品開發，引領客戶⾯對不斷變化中的⾦融挑戰。

我們這裡有扁平的組織結構、採⽤敏捷式開發流程、開放⾃由的討論⽂化與導師制度、
完善的新⼈教育訓練、彈性的上班時間(8:30~10:30)做滿8⼩時⾃⾏下班、
沒有傳統企業的包袱、下班不⽤等主管離開才能⾛、沒有加班⽂化，
每周⼀次以上的部⾨聚餐(⾃由參加)、
友善豐富的進修管道(內訓、外訓、證照補助、部⾨知識庫)、
提供每⼈基本配備個⼈電腦(含SSD)+雙螢幕、
不定時的資訊技術、財經新知、財務知識、理財知識分享。

無須具備財務⾦融相關知識，歡迎不具財經背景的資訊⼯程師加⼊⼀同成⻑、分享與切磋~,不拘,不拘,不拘","軟體工程師
、Internet程式設計師","月薪40,000~80,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/73eyj?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","【工作內容】
1. 參與企業專案開發及系統維護。
2. ReactJS程式開發或NodeJS程式開發。
3. 使用者教育訓練，系統問題協助及排除。
4. 資訊文件撰寫。
5. 新技術學習和研究。
6. 主管交辦事項。

【其它條件】
1. 具備開發及維護大型系統經驗。
2. 前後端分離開發經驗和模組開發經驗。
3. 多前端框架的實務經驗。
4. 熟悉MySQL或MSSQL資料庫。
5. RESTful API開發經驗。,不拘,Node.js、ReactJS、VueJS
提升專業能力
提升專業能力,不拘","軟體工程師
、前端工程師
、全端工程師","月薪34,000~45,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s8rz?jobsource=new_map&app_jobsource=m_time4jobs","【產品發展部】(資深)主任全端工程師","【工作職責】
●負責產品站台開發與維護，包含後台管理系統、官網、etc. (Vue3)。
●負責 API 功能設計、開發與維護 (JavaScript/TypeScript)。
●負責 API 文件撰寫與維護。
●負責擔任技術窗口，與客戶進行串接、溝通及異常排除(on call)
●負責規劃前後端部屬策略（SSR、SPA、CDN、CI/CD）
●負責技術評估與選型，導入合適的框架與工具

【其他條件】
●熟悉至少一種前端開發框架 (React、Vue、Next.js、Nuxt、etc ..)
●熟悉模組化架構設計、前端效能優化、SEO、跨瀏覽器相容
●能獨立思考系統架構設計，理解整體軟體開發生命週期與 DevOps 流程
●文件編寫與管理能力
●溝通協調與團隊協作能力

【加分條件】
●熟悉 SQL / NoSQL 資料庫操作（PostgreSQL、MySQL、MongoDB、etc ..）
●熟悉 GCP 雲端平台操作與服務（App Engine、Cloud Run、Cloud Storage、Cloud SQL、Pub/Sub、etc ..）
●熟悉與AI模型或MCP串接應用整合,不拘,不拘,不拘","軟體工程師
、電玩程式設計師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8s6b0?jobsource=new_map&app_jobsource=m_time4jobs","【保障年薪14個月】網頁前端工程師","【 About  Us 】
廣告行銷產業變動快速，是具備高度競爭力的產業。我們的團隊節奏快，管理風格扁平、重視團隊合作與溝通協作，歡迎有挑戰精神的您加入我們的團隊，共同在資訊洪流中展穩腳步並且茁壯成長！

【網頁前端工程師】打造高效能、可維護的使用者體驗！
我們正在尋找一位具備前端框架開發經驗、專注於效能優化的網頁前端工程師，與設計、後端密切合作，實現頂尖的使用者體驗。

【工作內容 / 你將負責】
◤ 前端開發技術與框架應用
   熟悉前端框架與模組化開發，撰寫具備可維護性與可擴充性的程式碼。
   理解瀏覽器渲染流程，能針對效能瓶頸進行技術優化與問題解除。
   熟悉 JavaScript 模組化、打包工具與優化前端程式碼開發。
◤ 網頁效能優化與使用者體驗提升
   能獨立執行網站效能分析與優化，改善載入速度與互動性。
   針對核心網頁體驗指標（LCP、CLS、INP）進行優化與調校。
   熟練圖片壓縮、資源懶加載（Lazy Loading）等網站前端效能最佳化。
◤ 瀏覽器渲染與性能理解
   了解瀏覽器的渲染機制與資源加載流程。
◤ 跨部門協作
   與切版師協同整合RWD視覺畫面
   與後端工程師協同整合 API 與資料處理，提升網站系統整體效能。

【必備技能 / 我們希望你】
◆ 熟悉 HTML、CSS、JavaScript 並具備前端框架實作經驗。
◆ 熟悉 ES Modules、Component-based 結構設計
◆ 熟用 Tailwind、Bootstrap 或自製元件系統
◆ 了解瀏覽器渲染流程，熟練圖片壓縮、資源懶加載、JS 分包。
◆ 能獨立debug網站前端相關問題，且有實際改善網站效能案例者佳。
◆ 具備高度自律與主動性，能自主管理進度與品質。
◆ 積極學習：持續吸收前端新技術與效能優化知識。

【加分技能】
◇ 具備 CDN 資源快取調整經驗。
◇ 熟悉前端框架提升 SEO 結構化與使用者體驗。
◇ Next.js
◇ Vue
◇ PHP
◇ Angular
◇ React

【你會喜歡這裡，因為我們】
☆ 重視創意與溝通，尊重每個人的專業與聲音。
☆ 我們重視效率，追求成果勝過加班時數。
☆ 我們提倡員工自主性，鼓勵成員在工作中主動思考並持續成長。
☆ 鼓勵開放討論與積極回饋，任何人都可以提出好點子。
☆ 成果導向：您的努力會被看見。在這裡，回報與表現成正比。
☆ 鼓勵成員持續學習新知與優化流程，一起進化不間斷。
☆ 只要你對職涯有積極成長的規劃與期待，我們非常樂意提供舞台與機會。

★具競爭力的公司福利★
◇固定年終獎金2個月
◇三節禮金
◇生日禮金
◇每年穩定調薪
◇每年享有12天(以上)特休+不扣薪病假5天
◇不定期部門聚餐
◇團康活動(運動類、益智桌遊、藝術創作)
◇員工活動

★成為正式員工額外享有★
◇一年2次績效考核獎金
◇員工團體保險
◇年度健康檢查
◇健身房補助方案,不拘,HTML、JavaScript、CSS、Github
提升專業能力
提升專業能力,網頁語法撰寫、軟體程式設計","前端工程師
、Internet程式設計師
、網頁設計師","月薪40,000~48,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/7yz3j?jobsource=new_map&app_jobsource=m_time4jobs","全端工程師","1. 使用 Vue / React 維護網管程式與優化功能，進行簡易障礙排除或通報相關單位。
2. 操作 MySQL/ MSSQL/ NoSQL 撈取網管監控數據，進行後續分析與規劃。
3. 專案計畫執行及主管交辦事項。,1. 具Vue / React 任一前端開發經驗尤佳。
2. 具MySQL、MSSQL、NOSQL 經驗尤佳。,不拘,不拘","網路管理工程師
、系統工程師
、資料庫管理人員","月薪32,000~50,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8silp?jobsource=new_map&app_jobsource=m_time4jobs","軟體工程師_網頁開發 (可遠端) M2","我們正在尋找一位網頁開發人員，協助我們建立和維護核心應用程式，並開發新的應用程式。
1. 開發、測試和維護我們網頁應用程式的功能。
2. 負責全端開發，從資料庫互動到前端實作。
3. 與產品經理和使用者協作，將需求轉化為技術解決方案。
4. 編寫清晰、高效且文件齊全的程式碼。
5. 排除和調整平台上的問題。
6. 網頁框架經驗： 至少精通一種現代伺服器端框架。具備以下任何一種經驗且高度相關如 PHP、Node.js、基於 Python 的框架（例如：Django, Flask）、Ruby on Rails 等。,1. 資料庫熟練度： 具備 SQL 和關聯式資料庫（例如：MySQL, PostgreSQL）的豐富經驗。必須能夠熟練建構和優化複雜查詢。
2. 前端基礎： 紮實的 HTML, CSS 和現代 JavaScript (ES6+) 基礎是必不可少的。
3. 前端框架： 具備現代前端框架（如 React, Vue.js 或 Angular）的經驗是一個顯著的加分項。
4. 地點與遠端工作政策： 
(我們開放招聘來自台灣任何地方的夥伴)
辦公地點在台北總公司，如居住在北北基桃以外，將可申請遠端職位。,Node.js、Django、Python、PHP、Ruby、PostgreSQL、HTML、MySQL、JavaScript
提升專業能力
提升專業能力,軟體程式設計、軟體工程系統開發","軟體工程師
、前端工程師
、全端工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8rcza?jobsource=new_map&app_jobsource=m_time4jobs","EMS 軟體工程師","此職缺招募全端/前端/後端工程師
1. 根據案場規劃設計及電力市場規則，進行EMS系統的UI/UX設計
2. 進行EMS系統的前端開發
3. 進行EMS系統的後端開發
4. 定義前後端對接API資料格式、內容
5. 正式環境/測試環境建置、程式部署
6. 配合系統整合工程師進行現場整合測試、驗收
7. 儲能EMS系統緊急異常事故處理
8. 主管交辦事項

基本需求：
1. 擁有前端開發經驗，熟悉ReactJS、CSS-in-JS者尤佳
2. 擁有後端開發經驗，熟悉Node.js、Express框架、CouchDB者尤佳
3. 熟悉RESTful API資料串接協定
4. 熟悉Git操作，了解多人共同開發Code Review流程
5. 具儲能系統、電力系統、電力市場相關基礎知識,不拘,ReactJS、Node.js、Git、Github、Sass
提升專業能力
提升專業能力,軟體程式設計、軟體工程系統開發、系統架構規劃、資料庫程式設計","全端工程師
、軟體工程師
、通訊軟體工程師","時薪190元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8rcxb?jobsource=new_map&app_jobsource=m_time4jobs","儲能/能源 全端工程師, IoT工程師, 雲端工程師","1. 與雲端廠商對接、溝通需求、架構雲服務系統。
2. 雲端應用服務功能開發。
3. 與內部工程單位串接車上各項軟體服務需求。
4. 掌握行業技術發展趨勢與合規要求變化。

隨著雲端運算技術的快速發展，全端工程師在現今數位時代扮演著極為重要的角色，並具有相當高的發展前景。此職位旨在聘請一位對雲端技術充滿熱情、能夠開發及維護雲端應用服務的專業人士。

我們誠摯地邀請符合上述條件的求職者加入我們，一同迎接未來的挑戰與發展機會。,不拘,IoT、Node.js、VueJS、Git、AngularJS、ReactJS、Github、Sass
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、系統架構規劃、系統整合分析、資料庫軟體應用","全端工程師
、雲端工程師
、後端工程師","時薪190元以上","依公司規定","2025-09-09","","",""
