job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8bie4?jobsource=joblist_search,,"■工作內容：
・使用Flutter進行開發與維護
・研究新技術進行開發部署

■技能需求：
・熟悉 HTML,CSS,Vue.js 框架
・熟悉 RESTful Web API 串接應用
・熟悉 webpack 建構工具
・至少1年以上 Flutter 開發經驗 
・具備良好溝通能力
・具有獨立作業能力

※須附上相關作品案例
※薪資NT40,000元起（面議）

■上班時間＆休假：
10：00～19：00。(勤務時間8小時+休息時間1小時)
依照國定假日出勤。,不拘,Linux、Git、PHP、MySQL、HTML、JavaScript、jQuery、CSS、VueJS
提升專業能力
提升專業能力,軟體工程系統開發、軟體整合測試、軟體程式設計、網路程式設計","iOS工程師
、Android工程師
、Internet程式設計師","月薪40,000元以上",無需出差外派
https://www.104.com.tw/job/8i95k?jobsource=joblist_search,APP工程師,"【軟體工程開發】
1.專案需求釐清：與專案需求單位或相關窗口，進行跨部門溝通，資訊團隊討論技術上的可行性，定義各項作業的優先順序，與主管討論同意後，進入執行階段。
2.執行專案階段：執行前需與團隊成員討論較佳的實作方式，以管控成本、增進效能及減少未來除錯修改的問題產生。
3.完成專案階段：程式撰寫完畢後，進行測試及除錯。並撰寫相關的技術文件與教育訓練文件留存備查。
4.後續管理階段：維護開發產品之營運正常，並協助研發軟體新技術與新工具。

【必須具備職能】
1.專業職能：系統分析及系統規畫能力
2.以JAVA&Kotlin負責專案Android APP之開發、維護
3.跨職務合作開發，並評估合理性及規劃專案時程
4.熟悉 RESTful API 與 JSON 資料交換、介接第三方 API 套件經驗。
5.開發文件相關撰寫
6.一般職能： SQL。,不拘,Android、Java、Python
提升專業能力
提升專業能力,軟體工程系統開發、資料庫程式設計","Android工程師
、iOS工程師
、資料工程師","月薪45,000~55,000元",無需出差外派
https://www.104.com.tw/job/7hesn?jobsource=joblist_search,Flutter App 工程師,"【工作內容】
1. 使用 Flutter開發和維護高效能應用程式
2. 與PM和後端工程師討論將功能時作出來
3. 配合其他開發人員、測試人員，完成產品設計和發佈
4. 編寫相關開發文檔、技術資料等
5. 持續學習新技術並導入產品開發
6. 樂於溝通，於問題解決後儘速主動回報主管。,不拘,Git、Flutter、Kotlin、Dart
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計","軟體工程師
、Android工程師
、iOS工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/6g319?jobsource=joblist_search,資深Kotlin Android APP講師-台中三民認證中心,"【業界經驗】至少有相關工作經驗7年以上。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【專業證照】須有獨立App開發、並成功在App市集上架之經驗。,不拘,Android、Git、Java、Kotlin、MySQL、Firebase
提升專業能力
提升專業能力,軟體程式設計","電腦補習班老師
、講師
、Android工程師","時薪400~1,200元",依公司規定
https://www.104.com.tw/job/8mwh4?jobsource=joblist_search,Flutter App工程師 可遠端,"Flutter App 工程師

【工作內容】
1、負責使用 Flutter 進行移動應用研發，能夠 獨立完成 Android / iOS 應用開發。
2、熟練使用 Figma，能夠 高還原 UI 介面，提升使用者體驗。
3、參與 RESTful API 對接，與後端團隊緊密合作。
4、負責應用的 效能優化，確保流暢度、穩定性和相容性。

【職務要求】
1、3 年以上 Flutter 開發經驗，具備完整的 Flutter 專案開發經驗。
2、熟悉 Dart 語言，掌握 Flutter 組件、狀態管理（如 Provider、Riverpod、Bloc 等）。
3、具備 iOS（Swift）或 Android（Kotlin）原生開發經驗。
4、熟悉 RESTful API 與 JSON 資料交換，具備 第三方 API 串接經驗。
5、熟悉 WebSocket、HTTP、GraphQL 等網路通訊協定。
6、具備 移動端效能優化、動畫優化和記憶體管理 經驗。
7、熟悉 App Store / Google Play 上架審核流程及相關限制。
8、了解 Git 版本管理工具，能熟練使用 CI/CD 自動化部署流程。
9、具備 獨立解決問題能力，能深入研究技術，邏輯清晰，責任感強，具備良好的溝通能力與團隊合作能力。,不拘,Dart、Kotlin、SWIFT
提升專業能力
提升專業能力,軟體程式設計","iOS工程師
、Android工程師","月薪50,000~80,000元",無需出差外派
https://www.104.com.tw/job/8h3mb?jobsource=joblist_search,Android工程師,"本公司為無人機開發製造公司，Android系統在無人機地面站的開發中扮演關鍵角色，我們正在尋找專業的Android工程師，優化無人機地面站應用，提升操作體驗！如果你擅長Android底層開發、UI設計、應用最佳化，這將是個充滿成長機會的職位！
主要工作內容：
1. Android APP開發，打造流暢、直覺的無人機操控介面
2. 最佳化無人機地面站系統，提升效能與穩定性
3. Android UI設計與排版，確保最佳的使用者體驗
4. Android底層開發，整合無人機系統與關鍵功能
5. 需配合外派或短期出差（依專案需求），提供相關補助
必備技能
1. 熟悉Java，具備Android開發經驗
2. 熟悉Android UI設計，能優化操作介面與使用體驗
3. 熟悉Android底層開發，能進行系統最佳化與效能調校
4. 對無人機技術有興趣，樂於挑戰新技術，提升系統應用,不拘,Android、Java
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、資料庫程式設計","Android工程師
、iOS工程師
、通訊軟體工程師","月薪60,000~80,000元",需出差外派，一年累積時間未定
https://www.104.com.tw/job/7q8gi?jobsource=joblist_search,Flutter 工程師,"●工作內容
Flutter 開發跨平台 App(iOS/Android)
參與功能設計，分析並解決軟件開發過程中的問題
維護App，解決問題及優化功能

●技能要求
1. 熟悉 Dart 與 Flutter 框架，Flutter widget 、UI 實作經驗
2. 熟悉iOS(Swift)或Android(Java)者佳
3. 具備上架 Google Play、AppStore 通過審核的經驗
4. 具備良好的程式設計和架構能力
5.熟悉Provider者佳
6.熟悉git版控者佳
7.熟悉撰寫plugin或package者佳,不拘,Java、SWIFT、Flutter、Dart、MS SQL、MySQL
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計","軟體工程師
、Android工程師
、iOS工程師","月薪40,000~50,000元",無需出差外派
https://www.104.com.tw/job/4qdrw?jobsource=joblist_search,Android 工程師,"1.機器人產品功能開發及維護。
2.具Android(Java 或 Kotlin) 開發經驗。
3.有使用 Git 進行版本控管經驗。
4.具備良好的分析及解決問題的能力與高度責任感。
5.具自我管理、溝通協調能力及團隊合作精神。,不拘,Android、Git、Java、Kotlin
提升專業能力
提升專業能力,軟體程式設計、網路程式設計","軟體工程師
、Android工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8kuvi?jobsource=joblist_search,【TenMax】軟體工程師 (Andriod Developer),"【必要技能】
- Android 原生開發經驗（至少 3 年）
- 熟悉 Kotlin/Java 程式語言
- 熟悉 Android SDK 各組件及 Android Jetpack
- 熟悉 APP 相關 MVVM、MVP 架構
- 具備 RESTful API 串接經驗
- 具備 Android APP 效能優化及基礎維護能力
- 熟悉 Git 版本控制，具備良好的程式碼管理能力
- 具備 Google Play 上架及相關維護經驗

【加分技能】
- 熟悉 Android TV 應用程式開發
- 了解 Kotlin Coroutine 非同步或多執行緒開發
- 了解 Android CI/CD 相關流程建立，例如 Jenkins、Github Actions
- 了解 Android 相關單元測試或自動化測試，例如 Instrumented Tests、Espresso、UI Testing 等
- 具備多媒體播放相關開發經驗，例如 ExoPlayer
- 了相關廣告 VAST 串接經驗
- 熟悉 HLS 或 DASH 等串流協議,未填寫,Mac OS、Android、Java
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計、資料庫軟體應用","軟體工程師
、Android工程師","年薪1,000,000~1,400,000元",無需出差外派
https://www.104.com.tw/job/8dk2b?jobsource=joblist_search,APP工程師,"【工作內容】
1. App內頁面程式開發
2. 負責網站APP開發並與後端工程師配合完成專案
3. 與企劃配合開發前端組件，維護並優化APP端版面效能

【專業技能】
1. 至少精通一種APP程式語言（Swift, Java, Kotlin）
2. 了解基礎的Mobile UI建立與設置
3. 有使用GIT的相關經驗
4. 雙平台的開發

【注意事項】
．應徵者請務必提供履歷
．須具維運部署能力,不拘,Android、iOS、Git、Java、SWIFT、Kotlin
提升專業能力
提升專業能力,不拘","Android工程師
、iOS工程師","月薪42,000~70,000元",無需出差外派
