"job-href","job","content","types","salary","business_trip","date","position_text","position_href","company"
"https://www.104.com.tw/job/8oi8c?jobsource=new_map&app_jobsource=m_time4jobs","Front End 前端工程師","【工作內容 】

 1. 網頁前端功能開發與元件化建置
 2. 使用 Element Plus 框架進行介面開發與客製化
 3. 頁面響應式設計與跨瀏覽器相容性調整
 4. 無障礙功能設計（a11y）與多語系介面建置（i18n）
 5. 串接後端 API 並處理資料整合與呈現
 6. 使用 Git 進行版本控管與專案部署（含雲端環境）

【技能需求】

A. 前端技術（Frontend）：
開發技術：HTML5、CSS3、JavaScript、TypeScript
前端框架：Vue 3、Vite、Pinia、Vue Router、Element Plus
其他：SCSS、Vue I18n（多語系）、WAI-ARIA（無障礙設計）、RWD 響應式切版

B. 後端技術（Backend）：
理解 API 串接與資料處理流程
具備與 ASP.NET Core / Node.js 團隊協作經驗

C. 資料庫（Database）：
熟悉 JSON 資料格式與 RESTful API 串接邏輯
具備基本 SQL 查詢概念

D. 開發工具與環境（Development & Tools）：
版本控制：Git / GitHub
開發工具：VS Code、Postman
雲端服務：Azure（網站部署、靜態資源託管）,不拘,JavaScript、HTML、Git、Line、Node.js
提升專業能力
提升專業能力,軟體程式設計、系統架構規劃","Internet程式設計師
、前端工程師","月薪38,000~52,000元","需出差，一年累積時間約一個月以下","2025-09-09","","",""
"https://www.104.com.tw/job/7t5px?jobsource=new_map&app_jobsource=m_time4jobs","前端網頁工程師（具備美感設計能力）","奇點無限是一家以「數學最佳化」與「資料科學」為核心技術的軟體公司，致力於智慧交通及綠色物流領域。透過頂尖數學家與工程師的合作，提供全球永續發展的最佳化解決方案。

【職務說明】
我們正在尋找一位兼具前端開發與UI/UX設計能力的專才，加入我們的團隊，設計與開發高效且吸引人的網站與應用程式，根據用戶需求與品牌定位，提供直觀且富有創意的使用者介面，進一步提升整體體驗。適合對新創充滿熱情，並渴望前瞻性職涯發展的您！


【職責內容】
• 設計並開發高效且美觀的前端，負責網站與應用程式的UI/UX設計與前端開發，確保優良的使用者體驗與功能性。
• 與後端工程師協作，保證前後端的順暢整合與前端效能優化。
• 參與需求討論並提供技術建議，協助產品設計與體驗的完善。
• 進行跨瀏覽器兼容性測試，確保不同設備上的一致性與穩定性。
• 支援產品視覺設計，創建吸引眼球的介面設計，提升用戶體驗及品牌形象。
• 執行主管交辦的其他相關任務。


【基本條件】
• 精通 HTML、CSS、JavaScript（ES6+）、TypeScript，能獨立完成前端開發工作。
• 熟悉 VueJS、React 或其他前端框架，並具備單頁應用程式（SPA）與伺服器端渲染（SSR）的開發經驗。
• 具備UI/UX設計經驗，能根據用戶需求設計直觀、吸引人且易於使用的介面。
• 熟悉響應式設計（RWD），確保網站在各類設備上的優秀顯示效果。
• 熟練使用 Git 進行版本控制，具備團隊合作經驗。
• 具備API串接經驗，能處理前端與後端數據交互。
• 熟悉 Git 進行版本控制，並能在團隊協作中有效管理代碼變更。


【加分條件】
• 具備美感設計與文宣設計經驗，能將設計轉化為有效的行銷工具，幫助提升品牌價值。
• 熟悉視覺設計工具（如 Sketch、Figma、Adobe XD 等），能創建高品質的設計稿與原型。
• 具備跨部門合作經驗，能與行銷團隊協作，提升產品的市場影響力。
• 熟悉前端測試工具，能撰寫單元測試，確保代碼品質。


【應徵方式】
團隊是實現夢想的核心，請提供以下資料，讓我們更了解你：

1. 簡歷：分享你的技術經驗與成就。
2. GitHub 或作品連結：展示你的程式碼與專案成果。
3. 應徵動機：用簡短文字告訴我們，你希望在團隊中實現什麼！


如果您具備上述條件，擁有豐富的想像力與創新思維，並希望在充滿挑戰的環境中，運用數學與資料科學，與我們共同開創智慧交通與綠色物流的未來，立即加入我們！,【期望特質】

智者說：對的人是成事的關鍵，我們期待您具備以下特質：

• 熱衷創新，勇於嘗試新技術並付諸實踐。
• 擅長團隊合作，與他人有效溝通，共同解決問題。
• 自律且具責任感，能有效管理時間與資源。
• 面對挑戰時，保持正向、靈活應對變動。
• 高度誠信，對工作全力以赴，保證如期完成。
• 以用戶需求為核心，專注提升產品與服務體驗。
• 積極學習，接受挑戰，持續自我成長。
• 認同公司使命，並為共同目標努力。,ReactJS、Spring、MySQL、PostgreSQL、RDBMS、HTML、JavaScript、jQuery、CSS、Sass、Node.js、Java、AngularJS、VueJS、Redux、Django、Angular、Sketch、Zeplin、Adobe XD、Figma、Wireframe、Github、Jenkins、Git、AJAX
提升專業能力
提升專業能力,多媒體簡報製作、軟體程式設計、網路程式設計、多媒體企劃設計、多媒體技術開發、多媒體影像處理、行銷工具設計開發、使用者介面設計、設計表現能力、媒體動畫應用設計諮詢、電腦動畫設計","軟體工程師
、Internet程式設計師
、網頁設計師","月薪32,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/89o0s?jobsource=new_map&app_jobsource=m_time4jobs","Front-End Engineer 前端軟體工程師【台中】","◆熟悉Web前端模組與關聯，維護網路流量分析與DDoS偵測軟體產品功能 
◆增進軟體品質，增加或改善軟體模組與產品的功能 
◆ 進入專案，執行軟體開發設計實作 
◆ 進行良好的團隊合作, 達成任務,◆工作需求: 
-有撰寫Web UI相關經驗。
-能根據 UI/UX 的設計, 切出需求所需的 layout 以及組件 ◦ 
-了解 HTML/JavaScript/CSS/Sass/Angular ◦ 熟悉javascript/typescript, git, unit testing。

◆加分條件:
-有 ES5/ES6 前端框架與後端 API 串接經驗 ◦ 
-後端設計: nodejs/express, restful APIs, graphQL

◆面試可自備作品或是部分撰寫的程式碼及說明文件,Git、HTML、JavaScript、CSS、Sass、Node.js、Angular
提升專業能力
提升專業能力,軟體程式設計","軟體工程師
、Internet程式設計師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/6u3no?jobsource=new_map&app_jobsource=m_time4jobs","後端工程師","這個職位要做的是世界級、運算極密集的平台開發與維護，絕對把你現有的知識與經驗重新翻洗，大幅提升後端能力。

  1. 研究開發並維護後端架構
  2. 基本效能評估、測試與優化改善
  3. RESTful API 開發
  4. 開發/API文件撰寫
  5. 與不同職能專家協同作業,1. 具 MongoDB 或 ElasticSearch 使用經驗者
2. Messaging Engine, e.g. Kafka, ELK, MQ,
3. Data Processing, Pipeline 規劃開發
4. 熟悉容器技術, e.g. Docker 相關技術
5. 熟悉AWS或其他雲服務
6. Linux平台上開發經驗
7. 提供 GitHub 個人主頁
8. 熟悉Harbor, NPM等技術,Github、JIRA、Node.js、RDBMS、PostgreSQL、MySQL、Python、Java、C++、Linux
提升專業能力
提升專業能力,軟體工程系統開發、資料庫軟體應用、資料庫程式設計、資料庫系統管理維護、演算法設計、AI、網路程式設計、軟體程式設計","Internet程式設計師
、軟體工程師
、演算法工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/73eyj?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","【工作內容】
1. 參與企業專案開發及系統維護。
2. ReactJS程式開發或NodeJS程式開發。
3. 使用者教育訓練，系統問題協助及排除。
4. 資訊文件撰寫。
5. 新技術學習和研究。
6. 主管交辦事項。

【其它條件】
1. 具備開發及維護大型系統經驗。
2. 前後端分離開發經驗和模組開發經驗。
3. 多前端框架的實務經驗。
4. 熟悉MySQL或MSSQL資料庫。
5. RESTful API開發經驗。,不拘,Node.js、ReactJS、VueJS
提升專業能力
提升專業能力,不拘","軟體工程師
、前端工程師
、全端工程師","月薪34,000~45,000元","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8pzz9?jobsource=new_map&app_jobsource=m_time4jobs","軟體客服助理工程師","工作內容：
1.客戶廠商的對應窗口,規劃開發專案流程,監控進度回報,及驗收測試功能。
2.定期對內回報專案進度,針對內需進行調整更改專案內容。
3.維護APP 或 網站即時針對問題處理。


技能要求:
1.一年以上後端開發相關經驗。

2.具系統架構發想，流程規劃經驗。

3.瞭解前端語言基礎：
如：HTML、CSS、JavaScript

4.後端開發技術：
服務器端程式語言：如Node.js (JavaScript), Python, Java, PHP等
伺服器技術：如Apache, Nginx等
資料庫技術：如MySQL, PostgreSQL, MongoDB等
RESTful API設計和開發

5.資料庫技術：
SQL語法以及資料庫管理與操作
了解NoSQL（如MongoDB）以及能夠選擇適當的資料庫技術來解決問題

6.版本控制（Version Control）:
如Git和GitHub或其他版本控制系統

7.基礎架構與雲端技術：
對於如AWS, GCP, Azure等雲服務平台的基礎知識,不拘,不拘,軟體程式設計、資料庫程式設計、系統整合分析","軟體助理工程師
、全端工程師
、後端工程師","月薪34,000元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8silp?jobsource=new_map&app_jobsource=m_time4jobs","軟體工程師_網頁開發 (可遠端) M2","我們正在尋找一位網頁開發人員，協助我們建立和維護核心應用程式，並開發新的應用程式。
1. 開發、測試和維護我們網頁應用程式的功能。
2. 負責全端開發，從資料庫互動到前端實作。
3. 與產品經理和使用者協作，將需求轉化為技術解決方案。
4. 編寫清晰、高效且文件齊全的程式碼。
5. 排除和調整平台上的問題。
6. 網頁框架經驗： 至少精通一種現代伺服器端框架。具備以下任何一種經驗且高度相關如 PHP、Node.js、基於 Python 的框架（例如：Django, Flask）、Ruby on Rails 等。,1. 資料庫熟練度： 具備 SQL 和關聯式資料庫（例如：MySQL, PostgreSQL）的豐富經驗。必須能夠熟練建構和優化複雜查詢。
2. 前端基礎： 紮實的 HTML, CSS 和現代 JavaScript (ES6+) 基礎是必不可少的。
3. 前端框架： 具備現代前端框架（如 React, Vue.js 或 Angular）的經驗是一個顯著的加分項。
4. 地點與遠端工作政策： 
(我們開放招聘來自台灣任何地方的夥伴)
辦公地點在台北總公司，如居住在北北基桃以外，將可申請遠端職位。,Node.js、Django、Python、PHP、Ruby、PostgreSQL、HTML、MySQL、JavaScript
提升專業能力
提升專業能力,軟體程式設計、軟體工程系統開發","軟體工程師
、前端工程師
、全端工程師","待遇面議","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8rcza?jobsource=new_map&app_jobsource=m_time4jobs","EMS 軟體工程師","此職缺招募全端/前端/後端工程師
1. 根據案場規劃設計及電力市場規則，進行EMS系統的UI/UX設計
2. 進行EMS系統的前端開發
3. 進行EMS系統的後端開發
4. 定義前後端對接API資料格式、內容
5. 正式環境/測試環境建置、程式部署
6. 配合系統整合工程師進行現場整合測試、驗收
7. 儲能EMS系統緊急異常事故處理
8. 主管交辦事項

基本需求：
1. 擁有前端開發經驗，熟悉ReactJS、CSS-in-JS者尤佳
2. 擁有後端開發經驗，熟悉Node.js、Express框架、CouchDB者尤佳
3. 熟悉RESTful API資料串接協定
4. 熟悉Git操作，了解多人共同開發Code Review流程
5. 具儲能系統、電力系統、電力市場相關基礎知識,不拘,ReactJS、Node.js、Git、Github、Sass
提升專業能力
提升專業能力,軟體程式設計、軟體工程系統開發、系統架構規劃、資料庫程式設計","全端工程師
、軟體工程師
、通訊軟體工程師","時薪190元以上","無需出差外派","2025-09-09","","",""
"https://www.104.com.tw/job/8rcxb?jobsource=new_map&app_jobsource=m_time4jobs","儲能/能源 全端工程師, IoT工程師, 雲端工程師","1. 與雲端廠商對接、溝通需求、架構雲服務系統。
2. 雲端應用服務功能開發。
3. 與內部工程單位串接車上各項軟體服務需求。
4. 掌握行業技術發展趨勢與合規要求變化。

隨著雲端運算技術的快速發展，全端工程師在現今數位時代扮演著極為重要的角色，並具有相當高的發展前景。此職位旨在聘請一位對雲端技術充滿熱情、能夠開發及維護雲端應用服務的專業人士。

我們誠摯地邀請符合上述條件的求職者加入我們，一同迎接未來的挑戰與發展機會。,不拘,IoT、Node.js、VueJS、Git、AngularJS、ReactJS、Github、Sass
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、系統架構規劃、系統整合分析、資料庫軟體應用","全端工程師
、雲端工程師
、後端工程師","時薪190元以上","依公司規定","2025-09-09","","",""
"https://www.104.com.tw/job/7us9a?jobsource=new_map&app_jobsource=m_time4jobs","前端工程師","1. 負責專案的前端修改和開發工作
2. 與視覺設計師、後端工程師協作，開發網頁前端互動
3. 網頁切版製作，承接Figma UI設計規範轉檔製作
4. 前端效能優化,不拘,Git、HTML、JavaScript、jQuery、CSS、Sass、Node.js、ReactJS
提升專業能力
提升專業能力,系統整合分析、軟體工程系統開發、軟體程式設計、網路程式設計","軟體工程師","月薪36,000元以上","無需出差外派","2025-09-09","","",""
